Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
TX.VAL.MRCH.WR.ZS,"0,2965379198","0,2216644392","0,3227059491","0,9853442484","0,2672238854","0,2478314746","0,820037256","1,2432656444","1,0830476751","1,6920872348","4,2422169004","3,5769638007","3,2568072611","3,6379531689","4,9669283733","5,1095426313","7,5997888184","6,2277471611","8,5424359269","10,6621317608","14,511687893","20,1090723134","25,8189712678","22,0896021398","16,3934769536","22,430268595","42,0733402411","22,4656117273","26,5609724203","34,7099681702","33,7675790971","27,0466775691","26,8714109201","30,5401722439","40,9525919959","46,527129658","52,8515992643","38,8286606151","29,2169262315","27,5177053035","42,8903425387","62,14145478","65,8024950044","58,6098251564","49,3188301993","50,8435039465","50,2051271035","48,2467524948","39,4085512321","48,5547238726","39,5978367922","38,4605075559","45,5298972391","37,4691342923","36,1606566249"
TX.VAL.MRCH.WL.CD,26978000,30677000,33467000,40189000,49771000,57297000,49388000,48260000,47551000,50943000,64306000,65167000,86158000,126967000,169783000,177100000,181834000,278897000,257011000,300484000,310150000,297234000,329804000,269190000,334261000,325248000,237414000,382834000,562061500,1129445000,1062839000,791258000,707354000,768329000,816803000,919326000,1044449000,"1400160650,602","1263966908,401","1014412045,561",869357305,2356518656,2328799961,2584499638,2874456410,3153879020,3469819384,4698301709,6379977379,5060453820,6504841142,7763502475,7271180628,9430897478,9651772290
TX.VAL.MRCH.RS.ZS,"13,2404181185","16,4977018613","17,8504198165","18,1467565752","16,837113982","15,1089934901","10,7779217624","8,1661831745","7,2343378688","9,4222955067","10,6739651043","15,1349609465","16,6217878781","18,6127103893","5,0487975828","6,2015810277","2,8564514887","4,1370111547","2,3839446561","2,5655276154","6,2115105594","4,5876312939","4,4866041649","5,1915004272","9,3720176748","12,2780155451","4,5658638496","10,726058814","13,6929855541","14,0677058201","11,9599487787","7,8991934363","9,1699488516","7,3872000146","0,9737966193","1,4376836944","0,7144436923","1,9688026505","3,9311089293","7,0778900552","2,875734736","2,768456801","3,3620252195","5,6710729166","7,4090960037","5,4191271103","4,9665163782","0,7353980894","0,1741010718","0,2144077268","0,1663577136","0,261330296","0,3990592379","0,0897939885","0,079404163"
TX.VAL.MRCH.R5.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0062825158","0,0534976387","0,0021060258","0,0023508884","0,0288224687","0,0019478593","0,06266236","0,0027803826","0,0561246561","0,0253797527","0,0471349885","0,0413346299","0,010914846","0,0599203957","0,1547498194","0,0295836843","0,1884633614","1,2320141377","0,1261274927","0,0262838497","0,1547338128","0,1231580849","0,0886159958","0,8092356208","0,9460473042","1,4828032558","1,8770319572","1,2409987414","0,6808121753","1,7225979116","3,5933317693"
TX.VAL.MRCH.R4.ZS,0,0,0,0,0,0,"0,0769417672","0,055946954","0,5110302622","0,5201892311","0,6422417815","0,6997406663","0,8263887277","1,0364897966","1,0366173292","0,2749858837","0,1099904308","0,749739151","0,5093167219","0,1890283676","0,6222795422","0,0790622876","0,3286800645","0,2741558007","0,0098725248",0,"0,3133766332","0,088288919","0,7620162562","0,4317164625","0,257423749","0,1457173261","0,096557028","0,064425526","0,3195384934","0,261495922","0,0427976857","0,0203546631","0,1290641081","0,0488756141","0,0097524918","0,0777089965","0,0229950193","0,1769896553","0,4730792561","0,6614532729","0,2722272532","0,7486165891","1,3775065612","2,5542292371","2,6453491829","3,03172475","1,6641087079","3,0924542302","2,7069100695"
TX.VAL.MRCH.R3.ZS,"0,2965379198","0,2216644392","0,3227059491","0,9853442484","0,2672238854","0,2478314746","0,820037256","1,2432656444","1,0830476751","1,6920872348","4,2422169004","3,5769638007","3,2568072611","3,6379531689","4,9669283733","5,1095426313","7,5997888184","6,2277471611","8,5424359269","10,6621317608","14,511687893","20,1090723134","25,8189712678","22,0896021398","16,3934769536","22,430268595","42,0733402411","22,4656117273","26,5609724203","34,7099681702","33,7675790971","27,0466775691","26,8714109201","30,5401722439","40,9525919959","46,527129658","52,8515992643","38,8286606151","29,2169262315","27,5177053035","42,8903425387","62,14145478","65,8024950044","58,6098251564","49,3188301993","50,8435039465","50,2051271035","48,2467524948","39,4085512321","48,5547238726","39,5978367922","38,4605075559","45,5298972391","37,4691342923","36,1606566249"
TX.VAL.MRCH.HI.ZS,"86,4630439617","83,2806336995","81,8268742343","80,8678991764","82,8956621326","84,6431750353","88,4020409816","90,5905511811","91,6826144561","88,8856172585","85,0838179952","81,2880752528","80,1214048608","77,7493364418","89,9842740439","88,6888763411","89,5437596929","89,6352416842","89,0736194171","86,7723406238","79,2768015476","75,3032963927","67,2684382239","70,8120658271","70,9143453768","64,2328315624","52,208799818","65,7875214845","57,0304139316","50,6462908774","53,2396722363","63,522896451","62,5828086079","61,6189158551","57,3867872669","50,3481898695","45,9282358449","58,8175321545","66,1143761297","64,795533327","52,3198240107","32,5077395865","29,9266923167","34,0788455936","39,9542794945","39,7596909091","42,4584823577","45,2017279761","52,8350767841","42,2385120392","49,6210214291","50,8970849526","45,0905486432","50,0767071322","49,6910591847"
TX.VAL.MRCH.CD.WT,28010000,30120000,32850000,39460000,48830000,56190000,48500000,47350000,45850000,50040000,62960000,63950000,84550000,124210000,166510000,176290000,181240000,278890000,256970000,305160000,310000000,296000000,330000000,269000000,335000000,304000000,233000000,353000000,510000000,1009000000,959000000,737000000,657000000,725000000,816000000,919000000,1044000000,1089000000,1014000000,741000000,869000000,2356519000,2328800000,2584532000,2874456000,3152567541,3472364993,4723587272,6407111503,5079610400,6504820000,7763000000,7282790000,9456340000,9635890000
TX.VAL.MRCH.AL.ZS,0,0,0,0,0,0,"0,0769417672","0,055946954","0,5110302622","0,5201892311","0,6422417815","0,6997406663","0,8263887277","1,0364897966","1,0366173292","0,2749858837","0,1099904308","0,749739151","0,5093167219","0,1890283676","0,6222795422","0,0790622876","0,3286800645","0,2741558007","0,0706035104",0,"0,3251703775","0,1353066864","0,7620162562","0,5392028828","0,2819806198","0,1493823759","0,1037669964","0,1413456996","0,3932404754","0,2890160835","0,0742975483","0,0289251082","0,1291181637","0,0800802189","0,0482256257","0,1113618597","0,0381613284","0,4422656065","0,8273936567","0,9770376671","0,4139856116","2,1941858013","2,1762370264","3,2166363688","2,4395188989","3,2746825395","2,6276105047","4,1507448036","2,9976637172"
TM.VAL.MRCH.WR.ZS,"0,853405199","0,6412269682","0,6078071784","1,5977469816","0,931484722","3,1404165467","3,5909445746","4,0549718927","4,2473471956","2,7942253504","3,8112263139","10,5153836168","16,0523807659","15,9080631696","22,3976440319","21,9012701724","19,443405666","22,3661136806","20,2704222752","23,9096589462","27,2847853628","27,034278054","26,8859248011","28,6697814746","32,8261844851","36,6082135129","32,315894391","33,7152399104","31,0736621867","28,3149559463","19,564174222","20,4495081815","23,0723408068","25,2361660099","27,546851414","24,3085618344","33,8402779045","34,2459215263","33,0618761562","29,0012480223","25,6886406634","29,7197975697","32,7992649521","35,78532968","33,7189317244","28,8947674718","22,8907774879","30,4409804689","28,8140086163","24,9516292022","25,6599872421","28,8489655453","26,0693670572","28,8849186511","31,4689329244"
